vuln_id,title,description,LLM,Human 1,Human 2,source_file
13,Unprotected excludeAccountFromReflections function,The external function excludeAccountFromReflections lacks proper access control and can be called by anyone.,"{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-862']}","{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-862']}","{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-862']}",Experiments/valid/InterFi/KangarooToken_AuditReport_InterFi.json
2,Stargate now supports multiple pools for the same token,"The Stargate protocol now supports multiple pools for the same token on the same chain, each pool may be connected to one or many other chains. It is not possible to store a one-to-one token-to-pool mapping.","{1: ['CWE-435'], 2: ['CWE-439']}","{1: ['CWE-435'], 2: ['CWE-439']}","{1: ['CWE-435'], 2: ['CWE-439']}",Experiments/valid/Spearbit/LIFI-retainer1-Spearbit-Security-Review.json
8,Unaudited Contracts Access,"Operator can change the router and pair contract addresses, which could be not audited contracts.","{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-732']}","{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-732']}","{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-732']}",Experiments/valid/Techrate/Zinax Token.json
0,Local Variables Shadowing,The _approve function's owner variable shadows Ownable's owner function.,"{1: ['CWE-710'], 2: ['CWE-1092']}","{1: ['CWE-710'], 2: ['CWE-1092']}","{1: ['CWE-710'], 2: ['CWE-1092']}",Experiments/valid/Solid_Proof/SmartContract_Audit_Solidproof_TheCollectiveCoin_V3.json
6,The owner has limited minting capabilities.,Malicious or compromised owners can abuse minting capabilities.,"{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-732']}","{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-732']}","{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-732']}",Experiments/valid/Trail_of_Bits/FujiProtocol.json
1,Arbitrary Jump with Function Type Variable,The contract contains a function type variable that can lead to arbitrary jump vulnerabilities.,"{1: ['CWE-691'], 2: ['CWE-670']}","{1: ['CWE-691'], 2: ['CWE-670']}","{1: ['CWE-691'], 2: ['CWE-670']}",Experiments/valid/InterFi/LadyShibaInu_0xbc93965f242e2E7764a33b084fF7574b40a702eC.json
1,Owner can change the community account,The contract owner has the privilege to modify the community account.,"{1: ['CWE-284'], 2: ['CWE-269'], 3: ['CWE-266']}","{1: ['CWE-284'], 2: ['CWE-269'], 3: ['CWE-266']}","{1: ['CWE-284'], 2: ['CWE-269'], 3: ['CWE-266']}",Experiments/valid/Techrate/FALLINGSTAR Full Smart Contract Security Audit.json
2,Unimplemented Logic in distributePoolRewardsAdmin() Function,"The distributePoolRewardsAdmin() function has a comment indicating reward calculation logic, but the actual implementation is missing.","{1: ['CWE-710'], 2: ['CWE-1068']}","{1: ['CWE-710'], 2: ['CWE-1068']}","{1: ['CWE-710'], 2: ['CWE-1068']}",Experiments/valid/Techrate/7MARVEL.json
0,Use one instead of 10**18,Consider replacing 10**18 with a named constant for better code legibility and maintainability.,{1: ['CWE-710']},{1: ['CWE-710']},{1: ['CWE-710']},Experiments/valid/Coinfabrik/Avalaunch Audit Allocation Staking and Sales - CoinFabrik Blog.json
4,Change VRF address,Change address of VRF & Key if you deploy the contract in the main net,"{1: ['CWE-664'], 2: ['CWE-666']}","{1: ['CWE-664'], 2: ['CWE-922']}","{1: ['CWE-664'], 2: ['CWE-666']}",Experiments/valid/Solid_Proof/SmartContract_Audit_Solidproof_Bitcrush.json
4,doDailyUpdate() call tx can go out of gas,The doDailyUpdate() function call transaction may run out of gas.,"{1: ['CWE-703'], 2: ['CWE-755']}","{1: ['CWE-703'], 2: ['CWE-755']}","{1: ['CWE-703'], 2: ['CWE-755']}",Experiments/valid/QuillAudits/Carpe Diem Smart Contracts Audit Report - QuillAudits.json
1,Reentrancy in StMATIC._requestWithdraw,The function _requestWithdraw in contract StMATIC is vulnerable to reentrancy due to external calls and state variable modifications.,"{1: ['CWE-691'], 2: ['CWE-1265']}","{1: ['CWE-691'], 2: ['CWE-1265']}","{1: ['CWE-691'], 2: ['CWE-1265']}",Experiments/valid/Statemind/2023-05-17_Lido_Polygon_v2.json
3,Permit Function Vulnerability,"The permit function has been marked as vulnerable, potentially allowing unauthorized access or manipulation.","{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-863']}","{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-863']}","{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-863']}",Experiments/valid/InterFi/LillyFinance_0x8686525d6627A25C68De82c228448f43c97999F2.json
13,Solidity Coding Best Practices: Local variable shadows a state variable.,"The function uses a local variable with the same name as a state variable, which can lead to confusion and unintended behavior.","{1: ['CWE-710'], 2: ['CWE-1068']}","{1: ['CWE-710'], 2: ['CWE-1068']}","{1: ['CWE-710'], 2: ['CWE-1068']}",Experiments/valid/Coinbae/Coinbae-Barnbridge_Staking_Pool.json
26,L14. Redundant Use of SafeMath,The use of SafeMath library is redundant as it can be replaced by ABIEncoderV2 on the language level which adds validation to bytecode during compilation.,"{1: ['CWE-710'], 2: ['CWE-1041']}","{1: ['CWE-710'], 2: ['CWE-1041']}","{1: ['CWE-710'], 2: ['CWE-1041']}",Experiments/valid/Hacken/AugmentLabs_SC-Audit-Report_28022023_SA-943-1.json
2,EUU - Ether Units Usage,"The contract is using arbitrary numbers to form ether-related values, decreasing readability and preventing compiler optimization.","{1: ['CWE-710'], 2: ['CWE-1076']}","{1: ['CWE-710'], 2: ['CWE-1076']}","{1: ['CWE-710'], 2: ['CWE-1076']}",Experiments/valid/Cyberscope/hydt.json
