CWE,TP,FP,FN,Precision,Recall,F1
CWE-20,0,2,291,0.0,0.0,0.0
CWE-123,0,0,0,0.0,0.0,0.0
CWE-190,0,3,55,0.0,0.0,0.0
CWE-191,0,3,17,0.0,0.0,0.0
CWE-252,0,0,4,0.0,0.0,0.0
CWE-285,0,0,674,0.0,0.0,0.0
CWE-346,0,1,17,0.0,0.0,0.0
CWE-362,0,0,1,0.0,0.0,0.0
CWE-477,0,1,100,0.0,0.0,0.0
CWE-667,0,0,1,0.0,0.0,0.0
CWE-670,0,1,321,0.0,0.0,0.0
CWE-691,0,1,577,0.0,0.0,0.0
CWE-695,0,0,0,0.0,0.0,0.0
CWE-749,0,1,90,0.0,0.0,0.0
CWE-754,0,1,2029,0.0,0.0,0.0
CWE-826,0,1,29,0.0,0.0,0.0
CWE-829,0,16,73,0.0,0.0,0.0
CWE-862,0,0,0,0.0,0.0,0.0
CWE-1265,0,2,104,0.0,0.0,0.0
