CWE,TP,FP,FN,Precision,Recall,F1
CWE-20,0,3,544,0.0,0.0,0.0
CWE-150,0,0,0,0.0,0.0,0.0
CWE-188,0,1,12,0.0,0.0,0.0
CWE-191,0,2,17,0.0,0.0,0.0
CWE-282,124,3573,179,0.0335,0.4092,0.062
CWE-285,0,2,716,0.0,0.0,0.0
CWE-345,0,0,18,0.0,0.0,0.0
CWE-347,0,1,15,0.0,0.0,0.0
CWE-451,0,0,4,0.0,0.0,0.0
CWE-682,684,2109,1189,0.2449,0.3652,0.2932
CWE-688,0,0,0,0.0,0.0,0.0
CWE-710,2241,3661,6753,0.3797,0.2492,0.3009
CWE-749,0,4,90,0.0,0.0,0.0
CWE-787,0,1,0,0.0,0.0,0.0
CWE-829,0,3,59,0.0,0.0,0.0
CWE-837,0,0,2,0.0,0.0,0.0
CWE-862,0,2,0,0.0,0.0,0.0
CWE-940,0,0,10,0.0,0.0,0.0
CWE-1041,408,1431,0,0.2219,1.0,0.3632
CWE-1124,0,3564,0,0.0,0.0,0.0
CWE-1126,168,2642,0,0.0598,1.0,0.1128
CWE-1164,214,2554,7,0.0773,0.9683,0.1432
CWE-1265,81,5085,70,0.0157,0.5364,0.0305
CWE-1285,0,0,0,0.0,0.0,0.0
