CWE,TP,FP,FN,Precision,Recall,F1
CWE-20,140,2236,165,0.0589,0.459,0.1044
CWE-119,0,10,0,0.0,0.0,0.0
CWE-188,0,1,11,0.0,0.0,0.0
CWE-252,165,921,208,0.1519,0.4424,0.2262
CWE-282,1,175,0,0.0057,1.0,0.0113
CWE-284,123,101,4525,0.5491,0.0265,0.0505
CWE-285,139,1325,522,0.0949,0.2103,0.1308
CWE-330,1,59,7,0.0167,0.125,0.0294
CWE-347,0,12,3,0.0,0.0,0.0
CWE-391,0,779,0,0.0,0.0,0.0
CWE-400,38,1129,0,0.0326,1.0,0.0631
CWE-404,0,0,0,0.0,0.0,0.0
CWE-439,0,21,2,0.0,0.0,0.0
CWE-451,0,0,0,0.0,0.0,0.0
CWE-457,4,439,1,0.009,0.8,0.0179
CWE-477,0,108,21,0.0,0.0,0.0
CWE-506,0,0,0,0.0,0.0,0.0
CWE-561,173,3624,1,0.0456,0.9943,0.0871
CWE-570,0,1,0,0.0,0.0,0.0
CWE-571,0,1,1,0.0,0.0,0.0
CWE-664,26,150,985,0.1477,0.0257,0.0438
CWE-665,5,438,0,0.0113,1.0,0.0223
CWE-667,0,371,3,0.0,0.0,0.0
CWE-670,0,26,329,0.0,0.0,0.0
CWE-682,630,1924,1604,0.2467,0.282,0.2632
CWE-684,4,215,1,0.0183,0.8,0.0357
CWE-695,0,2705,0,0.0,0.0,0.0
CWE-710,1955,3467,6059,0.3606,0.2439,0.291
CWE-749,21,1429,75,0.0145,0.2188,0.0272
CWE-758,3,173,0,0.017,1.0,0.0335
CWE-778,42,2362,45,0.0175,0.4828,0.0337
CWE-824,0,0,1,0.0,0.0,0.0
CWE-826,0,0,0,0.0,0.0,0.0
CWE-829,24,2052,42,0.0116,0.3636,0.0224
CWE-841,0,5,50,0.0,0.0,0.0
CWE-862,47,1417,0,0.0321,1.0,0.0622
CWE-863,0,0,0,0.0,0.0,0.0
CWE-908,0,0,0,0.0,0.0,0.0
CWE-1024,2,445,62,0.0045,0.0312,0.0078
CWE-1025,9,362,125,0.0243,0.0672,0.0356
CWE-1041,412,1970,0,0.173,1.0,0.2949
CWE-1068,4,37,24,0.0976,0.1429,0.1159
CWE-1087,0,3650,0,0.0,0.0,0.0
CWE-1099,0,0,0,0.0,0.0,0.0
CWE-1109,0,2797,0,0.0,0.0,0.0
CWE-1124,0,798,0,0.0,0.0,0.0
CWE-1126,2,68,0,0.0286,1.0,0.0556
CWE-1265,46,2665,64,0.017,0.4182,0.0326
CWE-1285,0,0,0,0.0,0.0,0.0
CWE-1335,0,0,0,0.0,0.0,0.0
