CWE,TP,FP,FN,Precision,Recall,F1
CWE-188,0,13,11,0.0,0.0,0.0
CWE-190,0,16,40,0.0,0.0,0.0
CWE-252,0,4,335,0.0,0.0,0.0
CWE-269,705,1056,1467,0.4003,0.3246,0.3585
CWE-282,52,1291,200,0.0387,0.2063,0.0652
CWE-346,1,45,14,0.0217,0.0667,0.0328
CWE-362,10,3078,7,0.0032,0.5882,0.0064
CWE-400,73,1921,166,0.0366,0.3054,0.0654
CWE-477,4,83,0,0.046,1.0,0.0879
CWE-571,0,2,1,0.0,0.0,0.0
CWE-657,1,4624,0,0.0002,1.0,0.0004
CWE-665,4,258,36,0.0153,0.1,0.0265
CWE-667,1,1347,2,0.0007,0.3333,0.0015
CWE-670,0,2,308,0.0,0.0,0.0
CWE-695,0,1597,0,0.0,0.0,0.0
CWE-710,2474,4353,5348,0.3624,0.3163,0.3378
CWE-754,152,331,1315,0.3147,0.1036,0.1559
CWE-755,1,3,826,0.25,0.0012,0.0024
CWE-758,43,1300,0,0.032,1.0,0.062
CWE-778,0,0,79,0.0,0.0,0.0
CWE-787,0,13,0,0.0,0.0,0.0
CWE-798,0,4625,0,0.0,0.0,0.0
CWE-829,0,7,69,0.0,0.0,0.0
CWE-834,62,1412,117,0.0421,0.3464,0.075
CWE-835,4,1990,7,0.002,0.3636,0.004
CWE-1126,322,4689,0,0.0643,1.0,0.1208
CWE-1164,0,0,8,0.0,0.0,0.0
CWE-1339,30,386,156,0.0721,0.1613,0.0997
