CWE,TP,FP,FN,Precision,Recall,F1
CWE-252,0,15,381,0.0,0.0,0.0
CWE-284,267,420,5172,0.3886,0.0491,0.0872
CWE-328,0,0,0,0.0,0.0,0.0
CWE-400,1,27,259,0.0357,0.0038,0.0069
CWE-477,7,683,4,0.0101,0.6364,0.02
CWE-561,8,119,2,0.063,0.8,0.1168
CWE-573,0,3,0,0.0,0.0,0.0
CWE-695,0,2217,0,0.0,0.0,0.0
CWE-710,2562,4454,5483,0.3652,0.3185,0.3402
CWE-778,44,3925,40,0.0111,0.5238,0.0217
CWE-829,41,3430,20,0.0118,0.6721,0.0232
CWE-1076,329,3965,0,0.0766,1.0,0.1423
CWE-1120,0,8,20,0.0,0.0,0.0
CWE-1177,0,28,15,0.0,0.0,0.0
CWE-1265,12,682,89,0.0173,0.1188,0.0302
