Tool,Detectable Vulnerabilities,Description,CWE,Parent Pillar
conkas,Integer_Overflow,n/a,CWE-190,CWE-682
conkas,Integer_Underflow,n/a,CWE-191,CWE-682
conkas,Reentrancy,n/a,CWE-1265,CWE-691
conkas,Time_Manipulation,n/a,CWE-829,CWE-664
conkas,Transaction_Ordering_Dependence,n/a,CWE-362,CWE-691
conkas,Unchecked_Low_Level_Call,n/a,"CWE-252, CWE-695","CWE-703, CWE-710"
Manticore,delegatecall,Problematic uses of DELEGATECALL,"CWE-20, CWE-829, CWE-749","CWE-707, CWE-664, CWE-284"
Manticore,overflow,Integer overflows,CWE-190,CWE-682
Manticore,reentrancy,Reentrancy bug,CWE-1265,CWE-691
Manticore,reentrancy-adv,Reentrancy bug (different method),CWE-1265,CWE-691
Manticore,env-instr,Use of potentially unsafe/manipulable instructions,CWE-749,CWE-284
Manticore,ext-call-leak,Reachable external call or ether leak to sender or arbitrary address,CWE-20,CWE-707
Manticore,suicidal,Reachable selfdestruct instructions,"CWE-826, CWE-749","CWE-664, CWE-284"
Manticore,uninitialized-memory,Uninitialized memory usage,"CWE-908, CWE-665",CWE-664
Manticore,uninitialized-storage,Uninitialized storage usage,"CWE-908, CWE-665",CWE-664
Manticore,invalid,Enable INVALID instruction detection,CWE-561,CWE-710
Manticore,unused-return,Unused internal transaction return values,CWE-561,CWE-710
Mythril,Delegatecall_to_user_supplied_address,The smart contract delegates execution to a user-supplied address. This could allow an attacker to execute arbitrary code in the context of this contract account and manipulate the state of the contract account or execute actions on its behalf.,"CWE-20, CWE-829, CWE-749","CWE-707, CWE-664, CWE-284"
Mythril,Dependence_on_predictable_environment_variable,"One or more of block.coinbase, block.gaslimit, block.timestamp or block.number are used to determine a control flow decision. Note that the values of these variables are predictable and can be manipulated by a malicious miner. Also keep in mind that attackers know hashes of earlier blocks. Don't use any of those environment variables as sources of randomness and be aware that use of these variables introduces a certain level of trust into miners.",CWE-829,CWE-664
Mythril,Dependence_on_tx_origin,The tx.origin environment variable has been found to influence a control flow decision. Note that using tx.origin as a security control might cause a situation where a user inadvertently authorizes a smart contract to perform an action on their behalf. It is recommended to use msg.sender instead.,"CWE-477, CWE-346","CWE-710, CWE-284"
Mythril,Exception_State,"It is possible to trigger an assertion violation. Note that Solidity assert() statements should only be used to check invariants. Review the transaction trace generated for this issue and either make sure your program logic is correct, or use require() instead of assert() if your goal is to constrain user inputs or enforce preconditions. Remember to validate inputs from both callers (for instance, via passed arguments) and callees (for instance, via return values).","CWE-670, CWE-754","CWE-691, CWE-703"
Mythril,External_Call_To_User_Supplied_Address,An external message call to an address specified by the caller is executed. Note that the callee account might contain arbitrary code and could re-enter any function within this contract. Reentering the contract in an intermediate state may lead to unexpected behaviour. Make sure that no state modifications are executed after this call and/or reentrancy guards are in place.,"CWE-20, CWE-1265","CWE-707, CWE-1265"
Mythril,Integer_Arithmetic_Bugs,Integer overflows & underflows,"CWE-190, CWE-191",CWE-682
Mythril,Jump_to_an_arbitrary_instruction,It is possible to redirect the control flow to arbitrary locations in the code. This may allow an attacker to bypass security controls or manipulate the business logic of the smart contract. Avoid using low-level-operations and assembly to prevent this issue.,CWE-695,CWE-710
